de_sign,dec_rad,ded,dem,des,dm,glat,glon,hd_cat_num,hrn,n_spectral_type,n_vmag,name,ra_rad,rah,ram,ras,spectral_type,u_vmag,vmag,x,y,z
-,-0.44724062082354693,11.0,58.0,30.0,BD-11 2609,25.49,243.1,80499,3706,,,26    Hya,2.442471932882598,9.0,19.0,46.4,G8III,,4.79,-0.6901257655164883,0.5802483639462592,-0.4324792063301662
+,0.794633864022585,32.0,54.0,7.0,BD+33 1848,44.64,192.33,80546,3707,,,,2.4498023157409743,9.0,21.0,27.2,K3III,,6.16,-0.5394941609863414,0.44689022681164586,0.7136071576447921
-,-1.0368710197889646,51.0,33.0,38.0,CD-51 3693,-1.47,273.07,80558,3708,,,,2.437803177133513,9.0,18.0,42.2,B6Iae,,5.87,-0.3879954128632056,0.32932549111610193,-0.8608160549724017
-,-0.30259645906451693,9.0,33.0,21.0,BD-08 2643,27.11,241.08,80586,3709,,,27    Hya,2.4455698923048876,9.0,20.0,29.0,G8III-IV+F5V,,4.8,-0.7325323347239323,0.6120396698660784,-0.2979996998222089
-,-0.6204645490839841,34.0,6.0,12.0,CD-33 5973,10.88,260.66,80590,3710,,,,2.442581015960848,9.0,19.0,47.9,B8V,,6.39,-0.6227998032794418,0.5235256575700595,-0.5814131843198305
+,0.35895604949350046,15.0,22.0,16.0,BD+15 2027,40.0,215.29,80613,3711,,,,2.44894419552541,9.0,21.0,15.4,A1V,,6.53,-0.7205090093839659,0.5978772257637778,0.3512970115294817
-,-1.3673200248332245,68.0,41.0,22.0,CP-68  918,-13.45,285.44,80671,3712,,,,2.431621802699367,9.0,17.0,17.2,F4V,,5.39,-0.15324991477868338,0.1317149275447457,-0.9793700227606564
-,-1.1826787343826575,67.0,3.0,3.0,CP-66 1002,-12.3,284.25,80710,3713,,,,2.4341307134991084,9.0,17.0,51.7,K2III,,6.11,-0.2876247138593051,0.2459551151593957,-0.9256230903041914
-,-0.4235332318172907,15.0,37.0,4.0,BD-14 2828,23.42,246.41,80719,3714,,,,2.447497026687298,9.0,20.0,55.5,dF6,,6.33,-0.7007181101655483,0.5831691313418153,-0.4109840560606397
-,-0.7401650469499286,31.0,45.0,38.0,CD-31 7162,12.64,259.07,80773,3715,,,,2.4466752674978176,9.0,20.0,44.2,B9.5V,,6.82,-0.5671370870771313,0.47278638636384496,-0.6744097844268597
-,-0.7979790784222407,37.0,34.0,53.0,CD-37 5668,8.57,263.3,80774,3716,,,,2.4456135255361877,9.0,20.0,29.6,K3/4III,,6.05,-0.535782523155465,0.44761311458407943,-0.7159466373505103
-,-1.0088003076527225,55.0,11.0,12.0,CP-54 2186,-3.92,275.75,80781,3717,,,,2.441468368562701,9.0,19.0,32.6,B5V,,6.28,-0.40752358779584985,0.3433389738858772,-0.846193166127564
-,-0.6891141663290944,25.0,57.0,56.0,CD-25 7114,16.72,254.81,80874,3718,,,The Pyx,2.4499768486661737,9.0,21.0,29.6,M1III,,4.72,-0.5944604634439623,0.49224666855311594,-0.635853736876924
+,1.3347405454626633,75.0,5.0,54.0,BD+75  377,35.8,137.18,80930,3719,,,,2.47775667259375,9.0,27.0,51.6,A5V s,,6.29,-0.18420378444086002,0.14409706464125716,0.972267968082585
-,-1.52570865445171,74.0,53.0,40.0,CP-74  579,-17.59,290.24,80951,3720,,,,2.432218123527131,9.0,17.0,25.4,A1V,,5.29,-0.03419955732766439,0.029358325750889844,-0.9989837230844637
-,-1.4838934744560124,74.0,44.0,5.0,CP-74  580,-17.49,290.11,80950,3721,,,,2.432363567631464,9.0,17.0,27.4,A0V,,5.86,-0.06586448420892853,0.05652418211695612,-0.9962263229587447
+,1.3458670194441273,63.0,56.0,27.0,BD+64  733,40.8,149.91,80953,3722,,,,2.4684918831477467,9.0,25.0,44.2,K2III,,6.28,-0.17439128007427088,0.13904454642966327,0.9748098766129868
+,0.4842561453762601,25.0,10.0,59.0,BD+25 2088,43.64,203.02,80956,3723,,,,2.4588634834409113,9.0,23.0,31.8,G5IV,,6.41,-0.6866472390037427,0.5583713968166575,0.4655501609768295
-,-0.37670023022210947,9.0,50.0,20.0,BD-09 2816,27.4,241.74,81009,3724,,,,2.455889151507304,9.0,22.0,50.9,A5pSrCrEu,,6.53,-0.719705459899508,0.5888186730134587,-0.3678540760974484
+,1.0403616782929532,51.0,34.0,26.0,BD+52 1389,44.47,166.0,81025,3725,,,,2.464964863617675,9.0,24.0,55.7,G2III,,6.31,-0.39445100144168377,0.3167832489961759,0.8625872597117811
-,-0.7840891664584526,42.0,11.0,42.0,CD-41 5023,5.51,266.8,81034,3726,,,,2.4515258283773185,9.0,21.0,50.9,M1III,,5.58,-0.5460365669458203,0.45072504146289866,-0.7061805750346657
+,0.7819802269456261,36.0,35.0,13.0,BD+37 1978,45.57,187.21,81039,3727,,,,2.4625504914857492,9.0,24.0,22.5,F0V,,6.67,-0.5521300780895501,0.44561226049241837,0.7046858095404395
-,-1.1880601662429735,62.0,24.0,17.0,CP-61 1242,-8.85,281.06,81101,3728,,,,2.4475915653551144,9.0,20.0,56.8,G6III,,4.81,-0.2870761313999233,0.23887173589329097,-0.927646262630201
-,-0.883500211769963,39.0,46.0,29.0,CD-39 5446,7.32,265.17,81134,3729,,,,2.454856498366541,9.0,22.0,36.7,K1III,,6.54,-0.4906321439581127,0.4022514935420504,-0.772964316937241
-,-0.8152869268378513,46.0,2.0,51.0,CD-45 5099,2.86,269.6,81136,3730,,,,2.4539329283040274,9.0,22.0,24.0,G6-8III,,5.75,-0.5298321629457217,0.435209045176498,-0.7279223626904308
+,0.5014912717397041,26.0,10.0,56.0,BD+26 1939,44.13,201.76,81146,3731,,,1Kap Leo,2.463772221962145,9.0,24.0,39.3,K2III,,4.46,-0.6830276944343002,0.5498802232833053,0.48073371909786655
-,-1.0947577733134433,55.0,30.0,54.0,CP-54 2213,-3.92,276.21,81157,3732,,,,2.451460378530369,9.0,21.0,50.0,A3IV s:,,5.63,-0.3533939826208109,0.29174740892021395,-0.8888172716794738
-,-0.7070037911620364,28.0,50.0,2.0,CD-28 7196,15.04,257.26,81169,3733,,,Lam Pyx,2.457445403423666,9.0,23.0,12.3,G8.5IIICN-1.5*,,4.69,-0.5892096895761882,0.48052629218014964,-0.6495586380251819
-,-0.962767248631372,55.0,0.0,39.0,CP-54 2219,-3.54,275.88,81188,3734,,,Kap Vel,2.4526821090067648,9.0,22.0,6.8,B2IV-V,,2.5,-0.44097085851441725,0.36314222702647486,-0.8207755021266838
-,-0.8440121374435914,37.0,45.0,26.0,CD-37 5721,8.9,263.89,81309,3735,,,,2.459808870119075,9.0,23.0,44.8,A1mA5-F0,,6.48,-0.5159275173751451,0.41873497575431795,-0.7473150720379926
+,0.432550766285928,16.0,35.0,8.0,BD+17 2078,41.41,214.32,81361,3736,,,,2.4676410351373996,9.0,25.0,32.5,gG9,,6.29,-0.7093978177798881,0.5666005244623693,0.41918800293913544
-,-0.7921613142489263,39.0,25.0,33.0,CD-38 5541,7.8,265.15,81411,3737,,,,2.4620996147623173,9.0,24.0,16.3,A7V:,,6.06,-0.5463196407556917,0.4413297015873336,-0.7118728430144017
-,-0.11802789066611655,5.0,7.0,3.0,BD-04 2616,30.73,237.84,81420,3738,,,28    Hya,2.4670228976939845,9.0,25.0,24.0,K5III,,5.59,-0.7755423255426205,0.6202161601677569,-0.11775404858733082
-,-1.0831222449668143,51.0,44.0,14.0,CD-51 3767,-1.01,273.78,81471,3739,,,,2.4608778842859214,9.0,23.0,59.5,A7Iab,,6.08,-0.3641384126202098,0.2948953959297414,-0.8834251082654799
-,-1.1263918660058405,60.0,18.0,9.0,CP-59 1374,-7.16,279.76,81502,3740,,,,2.458543506411379,9.0,23.0,27.4,K1-2II-III,,6.3,-0.333468437163258,0.2713489170325108,-0.9028668598642758
-,-0.13889911963788204,1.0,27.0,50.0,BD-00 2195,33.03,234.48,81567,3741,,,,2.471262593335288,9.0,26.0,22.3,K2IIIb,,6.01,-0.7760696612047434,0.6152614644481421,-0.13845292096117842
-,-1.2345295575773223,61.0,38.0,56.0,CP-61 1265,-8.06,280.78,81613,3742,,,,2.4613287610093533,9.0,24.0,5.7,K0III,,5.99,-0.2565172196216738,0.20754755115345164,-0.9439930773304279
+,0.94284140633777,45.0,36.0,5.0,BD+46 1509,46.07,174.22,81688,3743,,,,2.481276419918605,9.0,28.0,40.0,K0III-IV,,5.41,-0.46399943207648087,0.3603474112903231,0.8092306656380898
-,-0.21562088467346616,9.0,13.0,25.0,BD-08 2678,28.63,241.94,81728,3744,,,29    Hya,2.4750659566635917,9.0,27.0,14.6,A2V,,6.54,-0.7677735937110974,0.6039432130652952,-0.21395397680883196
-,-0.6948592084502424,28.0,47.0,15.0,CD-28 7271,15.63,257.78,81753,3745,v,,,2.4728988395090323,9.0,26.0,44.8,B6Ve,,6.1,-0.6027103415625122,0.47621972471348223,-0.6402772977135883
-,-0.8295404490624716,40.0,30.0,7.0,CD-39 5507,7.33,266.22,81780,3746,,,,2.4717134700587193,9.0,26.0,28.5,A7III,,6.2,-0.529298648302682,0.4192349877387787,-0.7376211534118445
+,1.1551170766115806,55.0,44.0,44.0,BD+56 1388,44.12,160.1,81790,3747,,R,,2.4861924306450556,9.0,29.0,47.6,F3V s,,6.45,-0.32014334343431955,0.246113613720708,0.9148422425730184
-,-0.31205032584615283,8.0,39.0,31.0,BD-08 2680,29.05,241.49,81797,3748,,,30Alp Hya,2.47656403093822,9.0,27.0,35.2,K3II-III,,1.98,-0.7488966945900365,0.5872803757049135,-0.3070105879998493
-,-0.47400233602079334,22.0,20.0,38.0,BD-21 2802,20.14,252.94,81799,3749,,,,2.4753423004618242,9.0,27.0,18.4,K2.5III,,4.69,-0.6994710424671374,0.5499024834679553,-0.4564510044087001
-,-0.12333660047426595,6.0,4.0,16.0,BD-05 2802,30.65,239.15,81809,3750,,,,2.477407606743351,9.0,27.0,46.8,G2V,,5.38,-0.7814379070400336,0.6117351210174553,-0.1230241405361207
+,1.4991651054109627,81.0,19.0,35.0,BD+81  302,32.65,130.65,81817,3751,,,,2.518015600673086,9.0,37.0,5.2,K3IIIa,,4.29,-0.05810014201076719,0.04179276908250396,0.9974355808525908
-,-1.3134329841778993,61.0,57.0,1.0,CP-61 1271,-8.16,281.11,81830,3752,,,,2.4672483360557007,9.0,25.0,27.1,A4V,,5.77,-0.19881885414360653,0.15892579972505194,-0.9670644515329762
-,-1.0242901047641721,53.0,22.0,45.0,CP-52 2360,-1.94,275.18,81848,3753,,,,2.4709571607161886,9.0,26.0,18.1,B6V,,5.11,-0.4071512666133009,0.3229886482080367,-0.854345468311227
+,0.17191493132144145,9.0,3.0,24.0,BD+09 2188,38.9,223.66,81858,3754,,,2Ome Leo,2.4803673942665245,9.0,28.0,27.5,F9V,,5.41,-0.7776062087645883,0.6050321119550452,0.17106936486110255
+,0.1889318915283862,8.0,11.0,18.0,BD+08 2226,38.5,224.64,81873,3755,,,3    Leo,2.4804910217552076,9.0,28.0,29.2,K0III,,5.71,-0.7752707523787592,0.6030611095210259,0.18780990040288545
-,-0.6129014556586754,35.0,0.0,28.0,CD-34 5895,11.4,262.47,81919,3756,,,,2.476796741505153,9.0,27.0,38.4,A3,,6.65,-0.6437870953302468,0.5046121443646092,-0.5752432178183368
+,1.1157744463895418,63.0,3.0,43.0,BD+63  845,41.74,150.64,81937,3757,,,23    UMa,2.4937627962755813,9.0,31.0,31.7,F0IV,,3.67,-0.35044083981486607,0.2652086310833901,0.8982514123499754
-,-0.08472119077389142,1.0,15.0,25.0,BD-00 2201,33.7,234.73,81980,3758,,,,2.4828908494767,9.0,29.0,2.2,F0Vn,,6.27,-0.7879511985606458,0.6098953886733132,-0.08461987687222158
-,-0.236201225436566,2.0,46.0,8.0,BD-02 2901,32.86,236.23,81997,3759,,,31Tau1Hya,2.483378087226215,9.0,29.0,8.9,F6V,,4.6,-0.7691203218002064,0.5947207497707366,-0.23401102620620234
-,-0.08864818159087866,2.0,12.0,19.0,BD-01 2268,33.23,235.72,82043,3760,,,,2.4845125512400115,9.0,29.0,24.5,F0III,,6.14,-0.788670038532202,0.6084091008575552,-0.08853212024636348
-,-1.3604114298774135,64.0,55.0,47.0,CP-64 1037,-10.17,283.34,82068,3761,,,,2.4728552062777327,9.0,26.0,44.2,A3Vn,,6.05,-0.1638540394539295,0.12947766060045138,-0.9779506067077541
-,-0.13453579650789624,4.0,14.0,50.0,BD-03 2693,32.08,237.72,82074,3762,,,,2.485087055452126,9.0,29.0,32.4,G6IV,,6.26,-0.7849719587078621,0.604837236117141,-0.13413031666450428
-,-0.5450517809873958,20.0,44.0,55.0,BD-20 2915,21.54,252.0,82077,3763,,,,2.4836471588192306,9.0,29.0,12.6,M1III,,5.66,-0.6765984113942749,0.5228875227803256,-0.5184623691449534
+,0.7475826962709046,33.0,39.0,20.0,BD+34 1999,46.65,191.56,82087,3764,,,7    LMi,2.4902357767455094,9.0,30.0,43.2,gG8,,5.85,-0.5831929558113849,0.4445957745431056,0.6798680559861567
-,-0.8599382668680394,35.0,57.0,5.0,CD-35 5724,10.96,263.39,82150,3765,,,Eps Ant,2.48379987512878,9.0,29.0,14.7,K3IIIa,,4.51,-0.5163392300393681,0.39891038744991303,-0.7578022844429231
-,-0.768962979607835,38.0,24.0,14.0,CD-37 5817,9.21,265.13,82165,3766,,,,2.4839162304122464,9.0,29.0,16.3,A7Vn,,6.19,-0.5687360945959653,0.4392851910287841,-0.6953903764408406
-,-0.49181923880156886,23.0,20.0,43.0,BD-22 2623,19.89,254.14,82180,3767,,,,2.4863596913650388,9.0,29.0,49.9,K0,,6.24,-0.6989269853144625,0.5371216150357089,-0.4722302826594975
+,1.3104513800390758,72.0,12.0,20.0,BD+72  462,37.74,139.93,82189,3768,,,22    UMa,2.5084453786079837,9.0,34.0,53.6,F7V,,5.72,-0.20751917755004715,0.15230791689339643,0.9663012415393795
+,0.637845119551761,35.0,6.0,11.0,BD+35 2015,46.93,189.47,82198,3769,,,8    LMi,2.4938137017120976,9.0,31.0,32.4,M1IIIab,,5.37,-0.6406367069426603,0.4847734382436196,0.595465635692878
-,-0.6081745222678574,26.0,35.0,23.0,CD-26 7117,17.66,256.64,82205,3770,,,,2.4866942128050042,9.0,29.0,54.5,K3III,,5.48,-0.6508991834504769,0.4998662642579022,-0.571370257224115
+,1.421643397801548,69.0,49.0,49.0,BD+70  565,38.93,142.55,82210,3771,,,24    UMa,2.506649143919473,9.0,34.0,28.9,G4III-IV,,4.56,-0.11963905168331955,0.08813972856813261,0.988897307894127
-,-0.41291581220099177,15.0,34.0,38.0,BD-14 2867,25.19,247.99,82232,3772,,,,2.4887377024708806,9.0,30.0,22.6,gK3,,5.85,-0.727591126279396,0.5564028078237824,-0.4012817818008825
+,0.6374087872387625,22.0,58.0,5.0,BD+23 2107,44.86,206.69,82308,3773,v,,4Lam Leo,2.494599099875495,9.0,31.0,43.2,K5III,,4.31,-0.6412244994621039,0.4844267052967573,0.5951150380261812
+,1.3747376741542003,74.0,19.0,4.0,BD+74  402,36.68,137.63,82327,3774,,,,2.5137686328265665,9.0,36.0,6.8,B9V,,6.46,-0.15765717149367725,0.11442556577996327,0.9808419883816907
+,1.0674142816988654,51.0,40.0,38.0,BD+52 1401,45.66,165.45,82328,3775,,,25The UMa,2.4995587438332456,9.0,32.0,51.4,F6IV,,3.17,-0.386336894366304,0.28886796691852656,0.8759561071993027
-,-1.1535899135160852,62.0,16.0,23.0,CP-61 1277,-8.11,281.62,82347,3776,,,,2.48178547428377,9.0,28.0,47.0,K1III,,5.92,-0.32015912752689574,0.24837816889255898,-0.9142244900891664
-,-1.396845178012795,71.0,36.0,8.0,CP-71  833,-14.85,288.22,82350,3777,,,,2.474469635835827,9.0,27.0,6.4,K2III,,5.47,-0.13596874809765183,0.10708654439732972,-0.984908610760306
+,0.970039453848015,49.0,26.0,19.0,BD+50 1657,46.19,168.59,82380,3778,,,,2.5007077522574757,9.0,33.0,7.2,A4V,,6.76,-0.45309935345862196,0.33797594757060834,0.8249080159382186
+,0.3444843611123808,9.0,42.0,57.0,BD+10 2014,39.97,223.42,82381,3779,,,6    Leo,2.4956462974266915,9.0,31.0,57.6,K2.5IIIbFe-0.5,,5.07,-0.7516165690415996,0.5665894094011419,0.3377113772092963
-,-0.7744171335203174,31.0,53.0,29.0,CD-31 7355,14.07,260.7,82383,3780,,,Zet1Ant,2.4903957652602755,9.0,30.0,45.4,A2V,,7.0,-0.5685454026453085,0.4332854397263166,-0.6992995444386164
-,-0.7739080791551524,31.0,53.0,22.0,CD-31 7355,14.07,260.7,82384,3781,,,Zet1Ant,2.490446670696792,9.0,30.0,46.1,A0V,,6.18,-0.5688505288348945,0.4334722007430804,-0.6989355671499421
+,0.27045331200695466,11.0,17.0,59.0,BD+11 2053,40.68,221.56,82395,3782,,,5Xi  Leo,2.495580847579742,9.0,31.0,56.7,K0-III-IIIb,,4.97,-0.7694658197175505,0.5801236529654232,0.2671682981875866
-,-1.3356859321408272,66.0,42.0,7.0,CP-66 1018,-11.3,284.74,82406,3783,,,,2.4805928326282407,9.0,28.0,30.6,A0V,,5.91,-0.1838860702936848,0.14300970646850197,-0.9724886307858508
-,-1.0255263796510015,51.0,31.0,2.0,CD-50 4204,-0.2,274.31,82419,3784,,,,2.487472338763185,9.0,30.0,5.2,B8V,,5.45,-0.4115912124642751,0.3155778295098525,-0.8549873141421681
-,-0.3191043649062966,10.0,33.0,8.0,BD-09 2856,28.65,243.89,82428,3785,,,,2.4942863950511796,9.0,31.0,38.9,F0Vn,,6.14,-0.7574400931876262,0.5725963758812775,-0.3137162660104621
-,-0.8203047484373349,40.0,28.0,0.0,CD-39 5580,7.91,266.78,82434,3786,,,Psi Vel,2.4901485102829097,9.0,30.0,42.0,F3IV+F0IV,,3.6,-0.542331229009841,0.41351977119433203,-0.7313537016191705
-,-0.06588617926278595,1.0,11.0,6.0,BD-00 2211,34.34,235.15,82446,3787,,,32Tau2Hya,2.4957408360945084,9.0,31.0,58.9,A3V,,4.57,-0.7968546633532057,0.600573005249093,-0.06583852108243414
-,-0.2715441427894511,10.0,22.0,14.0,BD-09 2858,28.82,243.78,82477,3788,,,,2.495515397732792,9.0,31.0,55.8,K0,,6.13,-0.7691946942541715,0.579998206714139,-0.2682193179836504
-,-0.7693265898686672,31.0,52.0,19.0,CD-31 7369,14.2,260.8,82513,3789,,,Zet2Ant,2.4937991573016642,9.0,31.0,32.2,A9IV,,5.93,-0.5728480070346071,0.4334904462981106,-0.6956516325034705
-,-0.798051800474407,35.0,42.0,54.0,CD-35 5751,11.45,263.56,82514,3790,,,,2.493850062738181,9.0,31.0,32.9,K4III,,5.87,-0.5567007383562057,0.421226781533286,-0.7159974067220947
+,0.7558002881657111,36.0,29.0,13.0,BD+37 1998,47.39,187.47,82522,3791,,,9    LMi,2.50238763166252,9.0,33.0,30.3,gK4,,6.18,-0.5840487435113875,0.43412861876237085,0.6858712762423032
+,0.5850489096789325,28.0,22.0,5.0,BD+29 1913,46.46,199.29,82523,3792,,,,2.501514967036523,9.0,33.0,18.3,A3Vnn,,6.53,-0.6686565836199025,0.49792487464127677,0.5522401582601805
-,-1.1069750780774035,58.0,21.0,42.0,CP-57 2090,-5.15,279.04,82536,3793,,,,2.488795880112614,9.0,30.0,23.4,M2III,,5.88,-0.3553845360173938,0.27173656621939885,-0.8943495234744591
+,0.24369159680970826,1.0,51.0,51.0,BD+02 2217,36.18,232.17,82543,3794,,,,2.498831523311581,9.0,32.0,41.4,F7IV-V,,6.11,-0.7767937411693175,0.5816976622048152,0.2412867867613722
-,-1.602284975382961,80.0,47.0,13.0,CP-80  350,-21.22,295.18,82554,3795,v,,Iot Cha,2.461576015986719,9.0,24.0,9.1,F3-5IV,,5.36,0.024480338680344976,-0.019796977987605154,-0.9995042734679297
-,-0.43640503505074885,19.0,24.0,1.0,BD-18 2708,23.0,251.46,82573,3796,,,,2.497304360216086,9.0,32.0,20.4,A5V,,5.74,-0.7245933717971695,0.5443367879059254,-0.4226841691853014
+,1.0390526813539576,46.0,54.0,8.0,BD+47 1683,46.86,172.15,82582,3797,,,,2.505972828834325,9.0,34.0,19.6,F0V,,6.52,-0.40801464030895707,0.30101590365948916,0.861924288460195
-,-0.6531167505067115,28.0,37.0,41.0,CD-28 7373,16.62,258.55,82610,3798,,,,2.49716618831697,9.0,32.0,18.5,A9V,,6.46,-0.6349137566073837,0.47710395770537584,-0.6076646568729885
+,0.9210247906878409,52.0,3.0,5.0,BD+52 1402,45.85,164.83,82621,3799,,,26    UMa,2.508147218194101,9.0,34.0,49.5,A2V,,4.5,-0.4876293158052408,0.35811745527251565,0.796222041013969
+,0.7323837873681205,36.0,23.0,51.0,BD+37 2004,47.53,187.61,82635,3800,,,10    LMi,2.505521952110893,9.0,34.0,13.4,G8.5III,,4.55,-0.5981647100003876,0.4417171939599188,0.6686440759255462
-,-0.27190775305028325,8.0,30.0,19.0,BD-07 2836,30.2,242.3,82638,3801,,,,2.5003368697914268,9.0,33.0,2.1,K0,,6.12,-0.7719039839471373,0.576224449738476,-0.2685695870535756
-,-0.36222854184098985,13.0,31.0,1.0,BD-12 2926,27.0,246.7,82660,3802,,,,2.4998787208627777,9.0,32.0,55.8,K5III,,5.94,-0.7490890818538412,0.559727805983835,-0.3543590420123239
-,-1.003855208105405,57.0,2.0,4.0,CP-56 2270,-4.11,278.21,82668,3803,,,,2.492424710515719,9.0,31.0,13.3,K5III,,3.13,-0.4278104751422897,0.32466208281014947,-0.8435477042490863
+,0.5202535611986432,23.0,27.0,14.0,BD+24 2104,45.5,206.23,82670,3804,,,,2.5044820267649133,9.0,33.0,59.1,gK7,,6.25,-0.6974673196831164,0.516169315054349,0.49710016713975624
-,-0.17191493132144145,7.0,11.0,24.0,BD-06 2939,31.07,241.15,82674,3805,,,,2.5016458667304224,9.0,33.0,20.1,K0,,6.24,-0.7903033633501174,0.5883501221921443,-0.17106936486110255
+,1.2951797490841253,73.0,4.0,50.0,BD+73  470,37.47,138.84,82685,3806,,R,,2.5217244253335735,9.0,37.0,56.2,F2V+F1V,,6.42,-0.2215099577059659,0.15809389274509048,0.9622575849084304
-,-0.8681558587628462,40.0,38.0,58.0,CD-40 5284,7.99,267.13,82694,3807,,,,2.4972243659587035,9.0,32.0,19.3,G8III,,5.35,-0.5166515492524973,0.38818916347571997,-0.7631384867866481
-,-0.3968442386722107,21.0,6.0,57.0,BD-20 2936,21.98,252.97,82734,3808,,,,2.5010931791339575,9.0,33.0,12.5,K0IV,,5.01,-0.7394859452021092,0.5511540100025009,-0.3865097593938687
+,0.8433576389740933,39.0,37.0,17.0,BD+40 2224,47.71,182.83,82741,3809,,,,2.5091871435400814,9.0,35.0,3.8,G9.5IIIFe-1,,4.81,-0.5363610937442738,0.39304836415963457,0.7468800175054101
-,-0.6101380176763511,22.0,51.0,50.0,BD-22 2645,20.82,254.38,82747,3810,,,,2.5020894712486377,9.0,33.0,26.2,A0Vn,,5.91,-0.6576158561448702,0.4891161825675272,-0.5729805805587295
+,0.9328784851909692,39.0,57.0,48.0,BD+40 2226,47.76,182.32,82780,3811,,,,2.5105397737103767,9.0,35.0,22.4,F2V,,6.76,-0.48083015099022247,0.3513563278206238,0.8033374737923821
-,-0.7144214404830123,39.0,7.0,44.0,CD-38 5676,9.2,266.19,82785,3812,,,,2.5007513854887753,9.0,33.0,7.8,F0IV,,6.43,-0.6055814652595739,0.45167430652235674,-0.6551804406128251
-,-1.3402674214273125,66.0,43.0,10.0,CP-66 1025,-11.11,284.97,82858,3813,,,,2.493850062738181,9.0,31.0,32.9,K1III,,6.27,-0.18221084467910653,0.13786956326170993,-0.9735456802879626
-,-0.3268129024359382,5.0,54.0,54.0,BD-05 2840,32.09,240.18,82870,3814,,,33    Hya,2.506925487717705,9.0,34.0,32.7,K1III,,5.56,-0.7626464256770787,0.5615269991309353,-0.32102625850385297
+,0.8229954643674928,35.0,48.0,37.0,BD+36 1979,47.81,188.49,82885,3815,,,11    LMi,2.5117905930076394,9.0,35.0,39.6,G8V,,5.41,-0.5495606441875606,0.40052617641606175,0.7331861157753079
-,-1.2886347643891465,62.0,47.0,20.0,CP-62 1253,-8.21,282.27,82901,3816,v,,,2.496882572313521,9.0,32.0,14.6,M6-7IIIep,,6.1,-0.22254377312072252,0.1673286010992664,-0.9604558336016056
-,-0.8565203304162173,49.0,0.0,18.0,CD-48 4802,2.04,273.03,82984,3817,,,,2.5034202848032834,9.0,33.0,44.5,B4IV,,5.12,-0.5261434138323774,0.39024420518434144,-0.7555677126511252
+,0.3437571405907165,14.0,22.0,47.0,BD+15 2077,42.85,218.36,83023,3818,,,7    Leo,2.512757796301453,9.0,35.0,52.9,A1V,,6.36,-0.7613996658488043,0.553790114043882,0.3370267918617058
-,-0.9569494844580575,51.0,15.0,19.0,CD-50 4270,0.42,274.6,83058,3819,,,,2.5051874306709276,9.0,34.0,8.8,B1.5IV,,5.01,-0.46325380182081927,0.34233121209639383,-0.817438227833254
+,0.5833763024791047,31.0,9.0,42.0,BD+31 2011,47.63,195.41,83069,3820,,,,2.5163938989097745,9.0,36.0,42.9,M2IIIa,,5.56,-0.676738905204605,0.48846114029607285,0.5508449587707352
-,-1.2952524711362918,73.0,4.0,51.0,CP-72  835,-15.64,289.55,83095,3821,,,,2.4940973177155463,9.0,31.0,36.3,K4III,,5.47,-0.21700249286005108,0.1641102543190343,-0.9622773729647109
-,-0.4844015894805929,19.0,35.0,1.0,BD-18 2728,23.43,252.17,83104,3822,,,,2.5113615328998575,9.0,35.0,33.7,A2V,,6.31,-0.7149464759872158,0.5215311302242376,-0.4656788772109925
-,-0.826558844923648,35.0,49.0,26.0,CD-35 5803,11.89,264.18,83108,3823,,,,2.5097689199574127,9.0,35.0,11.8,F7III-IV,,6.49,-0.546638050096319,0.4000907829170444,-0.7356046544249979
+,1.2406382099593025,67.0,16.0,20.0,BD+67  602,40.59,145.15,83126,3824,,,,2.5283930375172354,9.0,39.0,27.9,K5,,5.94,-0.26512823989874756,0.18656865895675104,0.9459910950443834
-,-1.0898126737661258,59.0,13.0,46.0,CP-58 1576,-5.43,280.02,83183,3825,,,,2.506489155404707,9.0,34.0,26.7,B5II,,4.08,-0.37243918004495224,0.27447298373642054,-0.8865402632516305
+,0.39386263453338705,16.0,26.0,16.0,BD+17 2109,43.91,215.91,83189,3826,,,8    Leo,2.517826523337453,9.0,37.0,2.6,gK1,,5.69,-0.7495367089028171,0.539374081620153,0.3837581557225205
+,0.32354041008844886,6.0,50.0,9.0,BD+07 2160,39.73,227.52,83240,3827,v,,10    Leo,2.5185610160643344,9.0,37.0,12.7,K1III,,5.0,-0.7699773670185818,0.5532254335202301,0.317925264780083
-,-0.6028658124597079,24.0,42.0,10.0,CD-24 8263,20.05,256.32,83261,3828,,,,2.5157248560298435,9.0,36.0,33.7,F2,,6.53,-0.6675832415848219,0.48253236388826604,-0.5670054085769405
+,0.7608908318173613,40.0,14.0,23.0,BD+40 2232,48.31,181.86,83287,3829,,,42    Lyn,2.5235788376638175,9.0,38.0,21.7,F0V,,5.25,-0.5902633118453403,0.4196269087661122,0.6895668786483059
-,-0.51399946471233,25.0,17.0,48.0,CD-24 8272,19.71,256.84,83332,3830,,,,2.517651990412254,9.0,37.0,0.2,gK1,,5.7,-0.7067139184304744,0.5087456161284987,-0.49166384407100655
-,-1.0344711920674723,48.0,45.0,5.0,CD-48 4831,2.52,273.18,83368,3831,,,,2.515113990791645,9.0,36.0,25.3,ApSrEuCr,,6.17,-0.41394385801426187,0.29958574478333194,-0.8595922660976453
