de_sign,dec_rad,ded,dem,des,dm,glat,glon,hd_cat_num,hrn,n_spectral_type,n_vmag,name,ra_rad,rah,ram,ras,spectral_type,u_vmag,vmag,x,y,z
+,0.5453426691960616,27.0,16.0,59.0,BD+26   23,-34.9,113.1,1083,53,,,,0.06622070070275153,0.0,15.0,10.6,A1Vn,,6.35,0.8530757251444641,0.056573992193081915,0.5187110858431541
-,-0.8301949475319693,34.0,54.0,16.0,CD-35   65,-78.99,345.8,1089,54,,,,0.06531894725588779,0.0,14.0,58.2,K3III,,6.17,0.6732930073597905,0.0440414434837577,-0.73806292245057
+,1.5753778160813816,76.0,57.0,3.0,BD+76    5,14.22,120.89,1141,55,,,,0.0708312788101032,0.0,16.0,14.0,B8Vnn,,6.35,-0.00456998527694334,-0.00032424032824230774,0.9999895049963164
+,0.9061894920458893,43.0,35.0,41.0,BD+42   41,-18.82,116.23,1185,56,,,,0.07138396640656808,0.0,16.0,21.6,A2VpSi,,6.15,0.6151789871963725,0.04398865878999507,0.7871593305106043
-,-0.6579164059496958,31.0,26.0,47.0,CD-32   72,-81.18,1.53,1187,57,,,,0.07046039634405442,0.0,16.0,8.9,K5III,,5.67,0.7893046236228204,0.05570693594747736,-0.6114694991698127
-,-1.5475979921538054,75.0,54.0,41.0,CP-76   19,-41.02,305.79,1221,58,,,,0.06946410422937432,0.0,15.0,55.2,G8-K0III,,6.49,0.023140312451583312,0.001610011485071579,-0.999730930702187
+,0.20245819323134223,8.0,14.0,24.0,BD+07   27,-53.64,108.28,1227,59,,,36    Psc,0.07229299205864845,0.0,16.0,34.1,G8II-III,,6.11,0.9770165985902861,0.0707547574844618,0.20107792114596468
+,1.2042771838760875,61.0,32.0,0.0,BD+60   21,-1.06,118.83,1239,60,,,,0.07396559925847636,0.0,16.0,57.1,G8III,,5.74,0.3573880970144801,0.026482737276787675,0.9335804264972017
-,-0.40418916594102017,20.0,12.0,38.0,BD-21   24,-79.47,72.13,1256,61,,,,0.07290385729684647,0.0,16.0,42.5,B8III,,6.47,0.9169793106702092,0.06697001880530787,-0.3932733914009497
+,1.0683596683770291,47.0,56.0,51.0,BD+47   50,-14.53,117.01,1279,62,,,,0.07483826388447351,0.0,17.0,9.1,B7III,,5.89,0.48021455214806386,0.03600566825811937,0.876411761535935
